1.01,0.0022425
1.26,0.19114853000000012
1.51,0.3866624000000001
1.76,0.55580575
2.01,0.7030742099999997
2.26,0.8336546999999994
2.51,0.9513961999999996
2.76,1.0590365199999987
3.01,1.158544199999999
3.26,1.2513660999999998
3.51,1.33859094
3.76,1.4210563
4.01,1.4994193199999986
4.26,1.5742049999999994
4.51,1.6458391999999993
4.76,1.7146725400000002
5.01,1.7809971000000004
5.26,1.8450588
5.51,1.9070670999999995
5.76,1.9672017
6.01,2.0256181000000018
6.26,2.082452
6.51,2.1378223000000007
6.76,2.191834100000001
7.01,2.2445807399999995
7.26,2.2961454999999984
7.51,2.3466028999999993
7.76,2.396020219999998
8.01,2.4444583000000013
8.26,2.491972140000001
8.51,2.538612100000001
8.76,2.5844240000000003
9.01,2.6294499000000005
9.26,2.6737284000000012
9.51,2.7172952000000015
9.76,2.7601831000000008
10.01,2.802422600000001
10.26,2.8440419099999987
10.51,2.8850674199999995
10.76,2.925523600000001
